CpGs,Monocytes90_Breast10,Adipo60Kidney30Prost10,Eryth50Lung25GI25
cg08169020,0.8005800000000001,0.03176,0.503375
cg25913761,0.7718900000000001,0.27813,0.2175
cg26955540,0.7057300000000001,0.15578,0.12034999999999998
cg25170017,0.8044,0.07232999999999999,0.50905
cg12827637,0.47136,0.02932,0.29250000000000004
cg19442545,0.18198,0.03166,0.08535
cg15838173,0.16544000000000003,0.02637,0.060475
cg23231163,0.31439000000000006,0.13067,0.219875
cg04858631,0.61142,0.13199999999999998,0.32872500000000004
cg19442545,0.18198,0.03166,0.08535
cg15838173,0.16544000000000003,0.02637,0.060475
cg10560079,0.17593,0.05383999999999999,0.08502499999999999
cg11845111,0.128,0.12798,0.10214999999999999
cg27211696,0.2,0.17167000000000002,0.13972500000000002
cg00982136,0.42595,0.06674999999999999,0.23037500000000002
cg22017733,0.39746,0.05758,0.247075
cg26460530,0.33065,0.062299999999999994,0.14162499999999997
cg13677741,0.15059,0.025480000000000003,0.10815
cg22879098,0.4854800000000001,0.03315,0.2997
cg24082121,0.5277200000000001,0.03795,0.35047500000000004
cg09642825,0.41839000000000004,0.05373,0.31345
cg01424562,0.7751,0.11234,0.542925
cg15376996,0.48843,0.07536,0.3649
cg14789659,0.75116,0.1141,0.5191
cg00928816,0.7380099999999999,0.17686000000000002,0.5519499999999999
cg20746552,0.64515,0.1561,0.498475
cg16389209,0.69059,0.15579,0.516975
cg19300307,0.80368,0.17952,0.528
cg11895835,0.81787,0.14833,0.549925
cg03419014,0.7748800000000001,0.22488999999999998,0.567225
cg14785464,0.36976000000000003,0.04386,0.22685
cg06167719,0.42747,0.046729999999999994,0.33492500000000003
cg09037712,0.67119,0.30517999999999995,0.538125
cg06340704,0.6991799999999999,0.14103999999999997,0.432125
cg12474798,0.47264000000000006,0.07263,0.32020000000000004
cg20684110,0.48795,0.06733,0.26902499999999996
cg01005506,0.30363,0.08803,0.2153
cg18856478,0.86547,0.07530999999999999,0.5281750000000001
cg27189395,0.28222,0.04031,0.1405
cg04043919,0.26896,0.16217,0.198475
cg26033520,0.6914000000000001,0.09668,0.267475
cg05507654,0.17655,0.04675,0.1112
cg05056497,0.66825,0.13055,0.475625
cg25913761,0.7718900000000001,0.27813,0.2175
cg26955540,0.7057300000000001,0.15578,0.12034999999999998
cg24275356,0.25872,0.06558,0.14775
cg26953232,0.42645,0.12836,0.2825
cg00936790,0.7430800000000001,0.10830000000000001,0.47802500000000003
cg05258935,0.87235,0.0727,0.54925
cg12474798,0.47264000000000006,0.07263,0.32020000000000004
cg20684110,0.48795,0.06733,0.26902499999999996
cg01005506,0.30363,0.08803,0.2153
cg03419014,0.7748800000000001,0.22488999999999998,0.567225
cg14785464,0.36976000000000003,0.04386,0.22685
cg06167719,0.42747,0.046729999999999994,0.33492500000000003
cg09037712,0.67119,0.30517999999999995,0.538125
cg23220823,0.36301,0.10903999999999998,0.2381
cg08857351,0.21073999999999998,0.02903,0.09265
cg02486646,0.12571,0.041389999999999996,0.0828
cg08474651,0.17574,0.02019,0.0882
cg27395200,0.63288,0.15077000000000002,0.435375
cg07275218,0.64783,0.21636999999999998,0.4545
cg10509607,0.65538,0.14370000000000002,0.4424
cg14855367,0.77406,0.10971999999999998,0.47805000000000003
cg23247274,0.12158000000000001,0.02012,0.0127
cg22897141,0.24086000000000002,0.11531999999999999,0.082075
cg22879098,0.4854800000000001,0.03315,0.2997
cg24082121,0.5277200000000001,0.03795,0.35047500000000004
cg03254916,0.24595999999999998,0.08072,0.086925
cg08063160,0.74094,0.17799,0.47429999999999994
cg08425810,0.64525,0.06054999999999999,0.34482500000000005
cg09267773,0.66275,0.19805999999999999,0.25315
cg02962602,0.51325,0.08941,0.3793
cg24275356,0.25872,0.06558,0.14775
cg26953232,0.42645,0.12836,0.2825
cg26757820,0.5583699999999999,0.17820999999999998,0.135875
cg08832851,0.37407999999999997,0.07985,0.3803
cg03711944,0.71805,0.0838,0.437975
cg27388962,0.58982,0.08268,0.450725
cg04913246,0.52227,0.10917,0.34424999999999994
cg10361922,0.17353000000000002,0.028659999999999995,0.073575
cg26264318,0.19673000000000002,0.07436999999999999,0.131175
cg16416715,0.24183,0.07672,0.1235
cg08257293,0.58387,0.10068,0.37024999999999997
cg26047334,0.6767399999999999,0.13149999999999998,0.352025
cg14057303,0.79321,0.38256999999999997,0.17525
cg26264318,0.19673000000000002,0.07436999999999999,0.131175
cg25158622,0.17391000000000004,0.04795,0.0956
cg11975790,0.6782900000000001,0.30268,0.4377
cg25607383,0.7428699999999999,0.43002999999999997,0.502325
cg14845962,0.8388,0.09082,0.5307999999999999
cg08367326,0.08836,0.00982,0.0586
cg16127573,0.73891,0.11539999999999997,0.461775
cg27312961,0.50703,0.07050000000000001,0.3568
cg13506158,0.81708,0.17711,0.5614
cg27269488,0.48389,0.10861,0.3557
cg16278496,0.6800499999999999,0.25437,0.466175
cg11798182,0.7202500000000001,0.32770999999999995,0.49260000000000004
cg15014975,0.89839,0.13493,0.574475
cg04221877,0.8116800000000001,0.36159,0.6807500000000001
cg10993442,0.8353700000000001,0.35366,0.6323000000000001
cg24019564,0.5978100000000001,0.18011999999999997,0.437425
cg05043794,0.41226000000000007,0.17679,0.189
cg09577804,0.26999,0.030199999999999998,0.118875
cg04778755,0.72409,0.24514,0.511625
cg19331221,0.1472,0.01755,0.105975
cg18569141,0.24977000000000005,0.052480000000000006,0.14379999999999998
cg16439823,0.27654,0.12527,0.22552499999999998
cg18675610,0.49183,0.061380000000000004,0.289875
cg22706007,0.1997,0.05314000000000001,0.13282499999999997
cg22138735,0.43446000000000007,0.18691999999999998,0.18337499999999998
cg04055490,0.47368,0.10478,0.26
cg08846870,0.8690500000000001,0.17221999999999998,0.563725
cg07865091,0.66207,0.10767,0.46082500000000004
cg17847861,0.39777,0.15236,0.19140000000000001
cg03063309,0.7040500000000001,0.10490000000000001,0.3984
cg16402452,0.8344600000000001,0.12445,0.5458500000000001
cg11532431,0.73144,0.12256,0.509925
cg02297709,0.74689,0.04384999999999999,0.442675
cg15926420,0.6360100000000001,0.16820000000000002,0.459575
cg24591770,0.85975,0.15982999999999997,0.6244250000000001
cg10661769,0.49827000000000005,0.06947999999999999,0.257225
cg12433575,0.65114,0.28912,0.4913
cg06398251,0.6843899999999999,0.16962000000000002,0.49429999999999996
cg04462378,0.5465900000000001,0.08477000000000001,0.377175
cg14395885,0.91021,0.59267,0.8144
cg21181453,0.5214300000000001,0.057409999999999996,0.33414999999999995
cg00769843,0.14991000000000002,0.01274,0.05205
cg07218880,0.69603,0.35000999999999993,0.4943
cg06889535,0.45193,0.02533,0.243425
cg01377358,0.7092,0.19537,0.49265000000000003
cg11025609,0.7282500000000001,0.17113,0.406425
cg01726273,0.48582,0.08631,0.362225
cg15185986,0.66485,0.12671000000000002,0.46549999999999997
cg06375761,0.1467,0.049999999999999996,0.07345
cg13638257,0.15547000000000002,0.04812999999999999,0.09390000000000001
cg14419102,0.36374000000000006,0.17497,0.25165
cg18353226,0.19660000000000002,0.1123,0.124325
cg26083458,0.44715000000000005,0.20137999999999998,0.262225
cg15575375,0.8392000000000001,0.11668999999999999,0.5723
cg07438103,0.5434,0.13014,0.42069999999999996
cg16988611,0.65554,0.16695,0.48162499999999997
cg16017089,0.76959,0.15122,0.513625
cg08659179,0.6708700000000001,0.16972,0.46545000000000003
cg16306706,0.6416900000000001,0.16860999999999998,0.43345
cg16829306,0.34761000000000003,0.10024999999999999,0.21935
cg12461469,0.15736000000000003,0.0069299999999999995,0.179675
cg13512830,0.37299,0.07491999999999999,0.324625
cg08662757,0.030490000000000003,0.01594,0.0247
cg14344261,0.024409999999999998,0.01716,0.020275
cg13910860,0.05887,0.03523,0.032174999999999995
cg14317609,0.03184,0.0229,0.026425
cg06671450,0.13555999999999999,0.10593,0.1137
cg19697530,0.01944,0.00682,0.01385
cg09097345,0.010270000000000001,0.00254,0.011425000000000001
cg11033835,0.01265,0.0038499999999999997,0.0169
cg19176391,0.03495,0.030289999999999997,0.032325
cg25915131,0.02762,0.06954,0.08457500000000001
cg16802508,0.09438,0.11955,0.10250000000000001
cg25753024,0.039549999999999995,0.02053,0.034074999999999994
cg05289892,0.07409,0.01202,0.0342
cg24704730,0.01481,0.0063,0.02475
cg26059153,0.01484,0.00245,0.009875
cg06571075,0.01799,0.01372,0.023600000000000003
cg13650938,0.022699999999999998,0.009490000000000002,0.022350000000000002
cg22451233,0.17216,0.1315,0.1337
cg24634420,0.012750000000000001,0.00749,0.016325
cg20937139,0.05349,0.048479999999999995,0.050574999999999995
cg17364114,0.019020000000000002,0.00492,0.024425
cg10700424,0.038360000000000005,0.017879999999999997,0.028175000000000002
cg07759394,0.030019999999999998,0.008509999999999998,0.0274
cg23919479,0.014280000000000001,0.0061600000000000005,0.0135
cg22079161,0.08466,0.023829999999999997,0.03255
cg13673164,0.03375000000000001,0.0059299999999999995,0.01515
cg08915603,0.01958,0.006869999999999999,0.0221
cg09473510,0.021360000000000004,0.010230000000000001,0.03
cg21918126,0.01187,0.01028,0.01235
cg13920435,0.03499,0.02617,0.032725
cg16357921,0.07372,0.07565,0.07844999999999999
cg20536983,0.05777,0.030809999999999997,0.045200000000000004
cg03304380,0.026490000000000003,0.01426,0.031975
cg05191076,0.017349999999999997,0.01232,0.018025
cg17426273,0.01594,0.01132,0.0175
cg08564661,0.05801,0.018949999999999998,0.0135
cg03205140,0.07152,0.04,0.038425
cg10576280,0.82779,0.06044,0.1287
cg03287340,0.015479999999999999,0.00362,0.012225
cg12585966,0.009600000000000001,0.01074,0.019175
cg02458065,0.02322,0.00947,0.014975
cg24333845,0.03718,0.052169999999999994,0.048775
cg05884394,0.06505999999999999,0.0339,0.0439
cg03098837,0.02258,0.0062699999999999995,0.02515
cg24617568,0.03,0.02401,0.040825
cg05446424,0.018270000000000005,0.00864,0.018725
cg05403555,0.02102,0.0052499999999999995,0.014925
cg04053392,0.01471,0.01243,0.020325
cg11238048,0.11545,0.09453,0.103475
cg24416513,0.01277,0.01359,0.053575
cg06906472,0.032690000000000004,0.011449999999999998,0.027299999999999998
cg18778433,0.03667,0.01094,0.029675
cg12535280,0.04931000000000001,0.026410000000000003,0.0359
cg05602862,0.02491,0.01519,0.0217
cg00604209,0.018500000000000003,0.00893,0.016225000000000003
cg08915603,0.01958,0.006869999999999999,0.0221
cg09473510,0.021360000000000004,0.010230000000000001,0.03
cg24636477,0.029240000000000002,0.0104,0.024524999999999998
cg01244944,0.09043,0.07719,0.07765
cg27475132,0.02343,0.009910000000000002,0.020275
cg24410535,0.06785,0.06786999999999999,0.06995
cg25191850,0.044309999999999995,0.01055,0.02635
cg20947082,0.11851,0.03324,0.06715
cg18301891,0.011010000000000002,0.007359999999999999,0.01885
cg01277542,0.00779,0.00513,0.016925
cg10362591,0.08711,0.08451,0.091975
cg14060111,0.013909999999999999,0.01363,0.0377
cg09491991,0.01222,0.01092,0.033549999999999996
cg25796439,0.0122,0.01182,0.027525
cg04432319,0.024980000000000002,0.02801,0.045625
cg12664209,0.017570000000000002,0.01417,0.030125
cg25998402,0.01443,0.0227,0.019625
cg17156565,0.07207000000000001,0.08697999999999999,0.05985
cg20478129,0.014709999999999999,0.00856,0.014724999999999999
cg16248329,0.02124,0.017079999999999998,0.030425
cg10700424,0.038360000000000005,0.017879999999999997,0.028175000000000002
cg07759394,0.030019999999999998,0.008509999999999998,0.0274
cg05251676,0.01794,0.00377,0.020125
cg01552272,0.06585,0.01994,0.039975
cg04624110,0.09894,0.01929,0.043625
cg23169957,0.07405,0.04341,0.0655
cg25557432,0.03088,0.01189,0.02255
cg04716990,0.02322,0.013470000000000001,0.0242
cg06571075,0.01799,0.01372,0.023600000000000003
cg01552272,0.06585,0.01994,0.039975
cg04624110,0.09894,0.01929,0.043625
cg23169957,0.07405,0.04341,0.0655
cg25557432,0.03088,0.01189,0.02255
cg04716990,0.02322,0.013470000000000001,0.0242
cg06571075,0.01799,0.01372,0.023600000000000003
cg04925858,0.06151000000000001,0.0216,0.07867500000000001
cg09082903,0.01692,0.00529,0.015574999999999999
cg18932726,0.0253,0.014389999999999998,0.025
cg05608777,0.01672,0.00932,0.018325
cg11183632,0.01665,0.00523,0.017575
cg20809378,0.028880000000000003,0.015639999999999998,0.03955
cg14060111,0.013909999999999999,0.01363,0.0377
cg09491991,0.01222,0.01092,0.033549999999999996
cg25796439,0.0122,0.01182,0.027525
cg04432319,0.024980000000000002,0.02801,0.045625
cg12664209,0.017570000000000002,0.01417,0.030125
cg09912350,0.01777,0.006719999999999999,0.017474999999999997
cg21426003,0.02581,0.01379,0.030350000000000002
cg19761848,0.04527,0.02365,0.04815
cg13985485,0.07563000000000002,0.03429,0.0483
cg13570831,0.021400000000000002,0.00877,0.0175
cg19358877,0.013670000000000002,0.00498,0.014125
cg03735496,0.03655,0.01381,0.032925
cg10276227,0.023360000000000002,0.02316,0.031024999999999997
cg14326196,0.023870000000000002,0.02353,0.031825
cg12894649,0.02713,0.01703,0.031924999999999995
cg23944804,0.019030000000000002,0.0074800000000000005,0.0161
cg14603345,0.02529,0.01992,0.033825
cg14060111,0.013909999999999999,0.01363,0.0377
cg09491991,0.01222,0.01092,0.033549999999999996
cg25796439,0.0122,0.01182,0.027525
cg04432319,0.024980000000000002,0.02801,0.045625
cg12664209,0.017570000000000002,0.01417,0.030125
cg19811761,0.021720000000000003,0.03475,0.040749999999999995
cg00674365,0.0228,0.0077599999999999995,0.024575
cg14255256,0.044349999999999994,0.02224,0.027775
cg03242819,0.03614,0.03936,0.026525
cg19429281,0.024470000000000002,0.01058,0.024050000000000002
cg14344261,0.024409999999999998,0.01716,0.020275
cg13910860,0.05887,0.03523,0.032174999999999995
cg26422161,0.037540000000000004,0.010089999999999998,0.028925
cg18804985,0.02769,0.01308,0.0111
cg23244559,0.07577,0.13116,0.080425
cg27113059,0.018540000000000004,0.0159,0.01545
cg16652741,0.016739999999999998,0.00579,0.02205
cg18932726,0.0253,0.014389999999999998,0.025
cg05608777,0.01672,0.00932,0.018325
cg00212988,0.01863,0.01226,0.016325
cg23654127,0.04975,0.051379999999999995,0.045425
cg01552272,0.06585,0.01994,0.039975
cg04624110,0.09894,0.01929,0.043625
cg23169957,0.07405,0.04341,0.0655
cg25557432,0.03088,0.01189,0.02255
cg04716990,0.02322,0.013470000000000001,0.0242
cg26059153,0.01484,0.00245,0.009875
cg06571075,0.01799,0.01372,0.023600000000000003
cg27166993,0.02212,0.01194,0.0109
cg05502701,0.0304,0.01096,0.020075
cg24353443,0.023790000000000002,0.030579999999999996,0.03405
cg10111115,0.15969,0.10775,0.16060000000000002
cg14473924,0.15554,0.10838999999999999,0.1539
cg10755973,0.006180000000000001,0.00292,0.025025
cg08675717,0.00963,0.00724,0.0158
cg13330559,0.03486,0.01129,0.025474999999999998
cg21599230,0.02442,0.01903,0.01725
cg18314424,0.028460000000000003,0.013420000000000001,0.02085
cg27051931,0.02676,0.01275,0.023
cg02487453,0.02355,0.011470000000000001,0.025125
cg02422426,0.03569,0.00875,0.02585
cg13524302,0.06992999999999999,0.0156,0.033575
cg23075555,0.050460000000000005,0.02163,0.027700000000000002
cg24465429,0.0545,0.019090000000000003,0.030875
cg02662362,0.054849999999999996,0.01081,0.019074999999999998
cg17833071,0.18282,0.10680999999999999,0.150525
cg24266485,0.20214,0.1239,0.16419999999999998
cg06781135,0.03057,0.00648,0.021525000000000002
cg11369071,0.12191,0.09852999999999999,0.08435000000000001
cg14051842,0.1173,0.11159,0.1011
cg12272837,0.040130000000000006,0.00618,0.022
cg02935627,0.09173,0.03846,0.064575
cg12835048,0.0442,0.01986,0.02485
cg09880551,0.03921,0.015969999999999998,0.027424999999999998
cg21173447,0.09245,0.05329,0.062174999999999994
cg25591794,0.022480000000000003,0.01123,0.015850000000000003
cg13524302,0.06992999999999999,0.0156,0.033575
cg23075555,0.050460000000000005,0.02163,0.027700000000000002
cg24465429,0.0545,0.019090000000000003,0.030875
cg02662362,0.054849999999999996,0.01081,0.019074999999999998
cg17833071,0.18282,0.10680999999999999,0.150525
cg24266485,0.20214,0.1239,0.16419999999999998
cg14060111,0.013909999999999999,0.01363,0.0377
cg09491991,0.01222,0.01092,0.033549999999999996
cg25796439,0.0122,0.01182,0.027525
cg04432319,0.024980000000000002,0.02801,0.045625
cg12664209,0.017570000000000002,0.01417,0.030125
cg02910208,0.00867,0.004110000000000001,0.0138
cg14487131,0.01481,0.0053100000000000005,0.016675
cg24531022,0.00702,0.006129999999999999,0.016075
cg15085899,0.019010000000000003,0.01004,0.028624999999999998
cg12034678,0.0027700000000000003,0.00422,0.009250000000000001
cg05412028,0.046470000000000004,0.00404,0.020349999999999997
cg26685941,0.08934,0.03664,0.060325000000000004
cg02003159,0.015590000000000001,0.011569999999999999,0.015574999999999999
cg24124443,0.03421,0.011980000000000001,0.029425
cg03384992,0.02272,0.0039700000000000004,0.017750000000000002
cg06593258,0.1018,0.03724,0.0739
cg26398656,0.06422,0.042210000000000004,0.054400000000000004
cg11006267,0.005640000000000001,0.019129999999999998,0.02085
cg02983950,0.01715,0.02905,0.0191
cg14873488,0.0108,0.029429999999999998,0.0223
cg00349895,0.0151,0.030220000000000004,0.011425000000000001
cg01022974,0.01178,0.015899999999999997,0.017025
cg05164926,0.019,0.0314,0.0298
cg18213545,0.03523,0.08066000000000001,0.063
cg10831212,0.02892,0.052790000000000004,0.047525
