CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
cg08169020,0.8866,0.2615,0.0149,0.0777,0.0164,0.868,0.9509,0.0336,0.0168,0.034,0.0416,0.038875,0.0209,0.013,0.0323,0.0163,0.0386,0.0462,0.0264,0.047,0.0269,0.0353,0.0553,0.0701,0.0344
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293,0.2385,0.3578,0.3104,0.2389,0.225,0.132,0.2249,0.1996,0.3654,0.2037,0.2446,0.2054,0.1922,0.2045,0.1596,0.1557,0.1848,0.168,0.2026
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915,0.1374,0.1965,0.0978,0.0338,0.0768,0.041725,0.0314,0.0139,0.2382,0.0193,0.1134,0.1269,0.1651,0.1523,0.1034,0.0686,0.0943,0.1298,0.1075
cg25170017,0.8861,0.5116,0.1021,0.4363,0.0875,0.7042,0.9447,0.0842,0.2832,0.2259,0.0544,0.11175,0.0309,0.0217,0.0972,0.0187,0.0674,0.0769,0.0691,0.0704,0.0604,0.0369,0.0412,0.0924,0.0697
cg12827637,0.5212,0.3614,0.0227,0.212,0.0225,0.5368,0.4667,0.0287,0.1368,0.0307,0.1607,0.065975,0.037,0.023,0.0798,0.0193,0.0432,0.0459,0.0228,0.0687,0.0234,0.0508,0.0726,0.0759,0.0196
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952,0.1601,0.0364,0.0222,0.1574,0.0122,0.003825,0.0378,0.0347,0.047,0.0193,0.0287,0.0246,0.0081,0.0098,0.0309,0.0055,0.0188,0.009,0.0166
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798,0.1045,0.0309,0.0296,0.0933,0.0209,0.008025,0.0193,0.0205,0.0356,0.0208,0.0293,0.0138,0.0173,0.0107,0.0227,0.0102,0.0164,0.012,0.0155
cg23231163,0.3366,0.2776,0.1749,0.1822,0.1789,0.3249,0.333,0.1264,0.0724,0.3157,0.1063,0.068675,0.0715,0.0781,0.1434,0.0525,0.1216,0.171,0.1145,0.1199,0.1491,0.101,0.1242,0.1072,0.1114
cg04858631,0.6594,0.1479,0.0787,0.0516,0.1614,0.644,0.5443,0.1346,0.1132,0.0684,0.0783,0.0617,0.0375,0.0332,0.2194,0.0507,0.2144,0.1091,0.1796,0.1502,0.1404,0.0912,0.1316,0.148,0.1237
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952,0.1601,0.0364,0.0222,0.1574,0.0122,0.003825,0.0378,0.0347,0.047,0.0193,0.0287,0.0246,0.0081,0.0098,0.0309,0.0055,0.0188,0.009,0.0166
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798,0.1045,0.0309,0.0296,0.0933,0.0209,0.008025,0.0193,0.0205,0.0356,0.0208,0.0293,0.0138,0.0173,0.0107,0.0227,0.0102,0.0164,0.012,0.0155
cg10560079,0.1943,0.0846,0.01,0.0524,0.0107,0.1753,0.149,0.0774,0.1446,0.022,0.0162,0,0.0107,0.005,0.1565,0.0106,0.043,0.0321,0.0106,0.0234,0.0196,0.0152,0.0474,0.0259,0.0238
cg11845111,0.1324,0.0998,0.0477,0.0556,0.0453,0.1152,0.1343,0.1574,0.268,0.0316,0.0566,0.07135,0.0725,0.0391,0.2027,0.0355,0.0638,0.1441,0.0884,0.1163,0.0803,0.0945,0.1975,0.0834,0.1224
cg27211696,0.2095,0.1225,0.0331,0.0619,0.0339,0.1863,0.186,0.2105,0.3271,0.0423,0.0537,0.05255,0.0432,0.0399,0.305,0.0371,0.154,0.1648,0.1145,0.1533,0.1117,0.1186,0.2635,0.1332,0.1506
cg00982136,0.4659,0.3645,0.0369,0.0494,0.0385,0.4724,0.4022,0.0724,0.0581,0.0564,0.0429,0.0318,0.0369,0.0426,0.074,0.1468,0.0624,0.0632,0.0664,0.1055,0.0612,0.0495,0.4129,0.0742,0.0684
cg22017733,0.434,0.4609,0.129,0.2913,0.1708,0.1845,0.424,0.0623,0.2031,0.0283,0.0543,0.0636,0.0436,0.0605,0.0564,0.0214,0.0801,0.0938,0.0686,0.0584,0.0489,0.0553,0.04,0.086,0.062
cg26460530,0.3586,0.3923,0.0568,0.2543,0.0598,0.3042,0.2282,0.0667,0.0514,0.1354,0.0573,0.0381,0.0361,0.027,0.0611,0.0238,0.0727,0.0586,0.0791,0.0698,0.0602,0.0422,0.0711,0.0528,0.0565
cg13677741,0.1653,0.1182,0.0109,0.0887,0.0133,0.2101,0.199,0.027,0.023,0.0131,0.0164,0.0112,0.0226,0.0333,0.0434,0.0445,0.0722,0.0577,0.0182,0.0145,0.0279,0.0091,0.0088,0.0182,0.0215
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331,0.536,0.026,0.131,0.0479,0.0475,0.067825,0.2207,0.046,0.1954,0.0358,0.0629,0.0976,0.0407,0.0775,0.0452,0.0399,0.0476,0.0793,0.0566
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558,0.6729,0.0243,0.224,0.0184,0.0156,0.10475,0.4313,0.0297,0.1242,0.0179,0.0276,0.0535,0.0374,0.0344,0.0722,0.0171,0.0203,0.0405,0.0327
cg09642825,0.4598,0.3097,0.1942,0.4086,0.182,0.4433,0.5505,0.0586,0.0393,0.0374,0.0871,0.020325,0.0412,0.0728,0.1018,0.0445,0.0598,0.0953,0.0457,0.0393,0.0507,0.0336,0.1608,0.0657,0.0269
cg01424562,0.8487,0.5592,0.1068,0.4103,0.1318,0.8368,0.9115,0.1062,0.123,0.0781,0.1664,0.191125,0.0936,0.0494,0.181,0.1487,0.2414,0.1507,0.1127,0.2137,0.0957,0.1991,0.4738,0.1823,0.1112
cg15376996,0.5355,0.4895,0.3402,0.456,0.2595,0.577,0.6439,0.094,0.0586,0.0477,0.0886,0.019125,0.0328,0.0217,0.1162,0.0263,0.0838,0.0736,0.0648,0.0672,0.0503,0.0387,0.0378,0.0832,0.055
cg14789659,0.8194,0.6834,0.2172,0.6203,0.525,0.8535,0.8926,0.1173,0.0856,0.0516,0.1221,0.077825,0.1854,0.0564,0.1698,0.0398,0.1234,0.1948,0.137,0.1555,0.1058,0.1198,0.1646,0.1691,0.1165
cg00928816,0.7962,0.6818,0.3266,0.6438,0.553,0.854,0.8764,0.176,0.1999,0.0611,0.1919,0.112175,0.2643,0.0811,0.2226,0.0567,0.1949,0.2685,0.2143,0.2623,0.1652,0.217,0.3736,0.2631,0.1877
cg20746552,0.6966,0.6434,0.321,0.5626,0.5442,0.7588,0.7817,0.157,0.1552,0.0726,0.2038,0.1126,0.2282,0.0814,0.2301,0.0667,0.1846,0.2364,0.1821,0.2197,0.1452,0.1834,0.2755,0.2267,0.1743
cg16389209,0.7493,0.6001,0.2884,0.6021,0.496,0.8042,0.8371,0.1627,0.1388,0.061,0.1861,0.09535,0.2213,0.0823,0.2034,0.0873,0.1708,0.2111,0.1622,0.2042,0.1342,0.1791,0.3425,0.2076,0.1654
